customer_id,customer_name,phone_number,email,city,branch,registration_date
1,Zehaan Maharaj,9444572121,murthychandran@example.org,Coimbatore,Singanallur,2023-08-04
2,Bhavini Ben,9604048996,lohit39@example.com,Salem,Omalur,2026-03-04
3,Warjas Murty,7722028496,nachiketmadan@example.com,Salem,Hasthampatti,2023-10-06
4,Aarini Roy,6658793770,obehl@example.net,Chennai,Velachery,2021-07-03
5,Kamala Dhillon,9988479855,xagate@example.com,Salem,Omalur,2022-12-11
6,Sudiksha Gala,7224067934,balakrishnanraghav@example.net,Salem,Ammapet,2025-10-20
7,Nidhi Guha,6528427818,hayerkala@example.org,Chennai,Anna Nagar,2022-09-12
8,Kavya Rama,7620537650,arya11@example.com,Salem,Ammapet,2025-12-04
9,Pushti Chauhan,6286345570,masonkaur@example.com,Salem,Suramangalam,2025-11-12
10,Neha Bhardwaj,9574205367,lkhosla@example.com,Chennai,Anna Nagar,2025-05-28
11,Ronith Chandra,8241153616,balhaar41@example.net,Salem,Ammapet,2022-08-02
12,Benjamin Badami,9800877510,zashil93@example.net,Madurai,Mattuthavani,2022-04-14
13,Brinda Bahri,6316654072,falak95@example.net,Madurai,Thirunagar,2022-10-19
14,Jairaj Bal,6710557736,wardamitter@example.net,Tiruchirappalli,Thillai Nagar,2024-03-28
15,Adweta Yohannan,9318887802,dominic16@example.org,Chennai,Tambaram,2022-05-16
16,Dhruv Sachar,6716709094,qushiganguly@example.org,Salem,Ammapet,2024-04-16
17,Januja Sachdev,7254132753,saksham04@example.com,Tiruchirappalli,Thillai Nagar,2024-09-29
18,Wakeeta Swamy,9366296479,majumdaralexander@example.com,Salem,Hasthampatti,2023-06-12
19,Widisha Subramanian,7416362021,pushti98@example.org,Coimbatore,Peelamedu,2024-09-20
20,Sai Shetty,7365688836,gopal27@example.org,Coimbatore,Gandhipuram,2022-12-09
21,Ekani Din,7185983343,rajeshribala@example.com,Madurai,Mattuthavani,2026-03-30
22,Vaishnavi Mand,9307603993,sanaya82@example.org,Coimbatore,Peelamedu,2023-06-25
23,Gayathri Sarma,6782109199,dkapur@example.net,Madurai,Anna Nagar Madurai,2025-12-08
24,Wazir Comar,7158053232,jeet14@example.com,Salem,Hasthampatti,2022-03-04
25,Wyatt Gaba,6273156444,mkrishnan@example.org,Salem,Ammapet,2024-12-04
26,Nisha Sathe,7343909668,cnayar@example.com,Coimbatore,Singanallur,2022-06-19
